Latitude,Longitude
47.27072812354835,-2.4248344340644215
47.27072812354835,-2.4238344340644216
47.27072812354835,-2.4228344340644217
47.27072812354835,-2.421834434064422
47.27072812354835,-2.420834434064422
47.27172812354835,-2.4248344340644215
47.27172812354835,-2.4238344340644216
47.27172812354835,-2.4228344340644217
47.27172812354835,-2.421834434064422
47.27172812354835,-2.420834434064422
47.27272812354835,-2.4248344340644215
47.27272812354835,-2.4238344340644216
47.27272812354835,-2.4228344340644217
47.27272812354835,-2.421834434064422
47.27272812354835,-2.420834434064422
47.273728123548345,-2.4248344340644215
47.273728123548345,-2.4238344340644216
47.273728123548345,-2.4228344340644217
47.273728123548345,-2.421834434064422
47.273728123548345,-2.420834434064422
47.27472812354834,-2.4248344340644215
47.27472812354834,-2.4238344340644216
47.27472812354834,-2.4228344340644217
47.27472812354834,-2.421834434064422
47.27472812354834,-2.420834434064422
47.27572812354834,-2.4248344340644215
47.27572812354834,-2.4238344340644216
47.27572812354834,-2.4228344340644217
47.27572812354834,-2.421834434064422
47.27572812354834,-2.420834434064422
47.2762314350581,-2.420371238406926
47.2762314350581,-2.419371238406926
47.2762314350581,-2.4183712384069262
47.2762314350581,-2.4173712384069264
47.2762314350581,-2.4163712384069265
47.2762314350581,-2.4153712384069266
47.2762314350581,-2.4143712384069267
47.2762314350581,-2.413371238406927
47.2762314350581,-2.412371238406927
47.2762314350581,-2.411371238406927
47.2772314350581,-2.420371238406926
47.2772314350581,-2.419371238406926
47.2772314350581,-2.4183712384069262
47.2772314350581,-2.4173712384069264
47.2772314350581,-2.4163712384069265
47.2772314350581,-2.4153712384069266
47.2772314350581,-2.4143712384069267
47.2772314350581,-2.413371238406927
47.2772314350581,-2.412371238406927
47.2772314350581,-2.411371238406927
47.278231435058096,-2.420371238406926
47.278231435058096,-2.419371238406926
47.278231435058096,-2.4183712384069262
47.278231435058096,-2.4173712384069264
47.278231435058096,-2.4163712384069265
47.278231435058096,-2.4153712384069266
47.278231435058096,-2.4143712384069267
47.278231435058096,-2.413371238406927
47.278231435058096,-2.412371238406927
47.278231435058096,-2.411371238406927
47.279231435058094,-2.420371238406926
47.279231435058094,-2.419371238406926
47.279231435058094,-2.4183712384069262
47.279231435058094,-2.4173712384069264
47.279231435058094,-2.4163712384069265
47.279231435058094,-2.4153712384069266
47.279231435058094,-2.4143712384069267
47.279231435058094,-2.413371238406927
47.279231435058094,-2.412371238406927
47.279231435058094,-2.411371238406927
47.27948,-2.410553
47.27948,-2.4095530000000003
47.27948,-2.4085530000000004
47.27948,-2.4075530000000005
47.27948,-2.4065530000000006
47.27948,-2.4055530000000007
47.27948,-2.404553000000001
47.27948,-2.403553000000001
47.28048,-2.410553
47.28048,-2.4095530000000003
47.28048,-2.4085530000000004
47.28048,-2.4075530000000005
47.28048,-2.4065530000000006
47.28048,-2.4055530000000007
47.28048,-2.404553000000001
47.28048,-2.403553000000001
47.280825,-2.403367
47.280825,-2.402367
47.280825,-2.401367
47.280825,-2.400367
47.280825,-2.3993670000000002
47.280825,-2.3983670000000004
47.280825,-2.3973670000000005
47.280825,-2.3973670000000005
47.280825,-2.3972670000000003
47.280825,-2.397167
47.280825,-2.397067
47.280825,-2.3969669999999996
47.280825,-2.3968669999999994
47.280825,-2.396766999999999
47.280825,-2.396666999999999
47.280825,-2.396566999999999
47.280825,-2.3964669999999986
47.280825,-2.3963669999999984
47.280825,-2.396266999999998
47.280825,-2.396166999999998
47.280825,-2.3960669999999977
47.280825,-2.3959669999999975
47.280825,-2.3958669999999973
47.280825,-2.395766999999997
47.280825,-2.395666999999997
47.280825,-2.3955669999999967
47.280825,-2.3954669999999965
47.280825,-2.3953669999999962
47.280825,-2.395266999999996
47.280825,-2.395166999999996
47.280825,-2.3950669999999956
47.280825,-2.3949669999999954
47.280825,-2.394866999999995
47.280825,-2.394766999999995
47.280825,-2.3946669999999948
47.280825,-2.3945669999999946
47.280825,-2.3944669999999943
47.280825,-2.394366999999994
47.280825,-2.394266999999994
47.280825,-2.3941669999999937
47.280825,-2.3940669999999935
47.280825,-2.3939669999999933
47.280825,-2.393866999999993
47.280825,-2.393766999999993
47.280825,-2.3936669999999927
47.280825,-2.3935669999999925
47.280825,-2.3934669999999922
47.280825,-2.393366999999992
47.280825,-2.393266999999992
47.280825,-2.3931669999999916
47.280825,-2.3930669999999914
47.280825,-2.392966999999991
47.280825,-2.392866999999991
47.280825,-2.3927669999999908
47.280825,-2.3926669999999906
47.280825,-2.3925669999999903
47.280825,-2.39246699999999
47.280825,-2.39236699999999
47.280825,-2.3922669999999897
47.280825,-2.3921669999999895
47.280825,-2.3920669999999893
47.280825,-2.391966999999989
47.280825,-2.391866999999989
47.280825,-2.3917669999999887
47.280825,-2.3916669999999884
47.280825,-2.3915669999999882
47.280825,-2.391466999999988
47.280825,-2.391366999999988
47.280825,-2.3912669999999876
47.280825,-2.3911669999999874
47.280825,-2.391066999999987
47.280825,-2.390966999999987
47.280825,-2.3908669999999868
47.280825,-2.3907669999999865
47.280825,-2.3906669999999863
47.280825,-2.390566999999986
47.280825,-2.390466999999986
47.280825,-2.3903669999999857
47.280825,-2.3902669999999855
47.280925,-2.3973670000000005
47.280925,-2.3972670000000003
47.280925,-2.397167
47.280925,-2.397067
47.280925,-2.3969669999999996
47.280925,-2.3968669999999994
47.280925,-2.396766999999999
47.280925,-2.396666999999999
47.280925,-2.396566999999999
47.280925,-2.3964669999999986
47.280925,-2.3963669999999984
47.280925,-2.396266999999998
47.280925,-2.396166999999998
47.280925,-2.3960669999999977
47.280925,-2.3959669999999975
47.280925,-2.3958669999999973
47.280925,-2.395766999999997
47.280925,-2.395666999999997
47.280925,-2.3955669999999967
47.280925,-2.3954669999999965
47.280925,-2.3953669999999962
47.280925,-2.395266999999996
47.280925,-2.395166999999996
47.280925,-2.3950669999999956
47.280925,-2.3949669999999954
47.280925,-2.394866999999995
47.280925,-2.394766999999995
47.280925,-2.3946669999999948
47.280925,-2.3945669999999946
47.280925,-2.3944669999999943
47.280925,-2.394366999999994
47.280925,-2.394266999999994
47.280925,-2.3941669999999937
47.280925,-2.3940669999999935
47.280925,-2.3939669999999933
47.280925,-2.393866999999993
47.280925,-2.393766999999993
47.280925,-2.3936669999999927
47.280925,-2.3935669999999925
47.280925,-2.3934669999999922
47.280925,-2.393366999999992
47.280925,-2.393266999999992
47.280925,-2.3931669999999916
47.280925,-2.3930669999999914
47.280925,-2.392966999999991
47.280925,-2.392866999999991
47.280925,-2.3927669999999908
47.280925,-2.3926669999999906
47.280925,-2.3925669999999903
47.280925,-2.39246699999999
47.280925,-2.39236699999999
47.280925,-2.3922669999999897
47.280925,-2.3921669999999895
47.280925,-2.3920669999999893
47.280925,-2.391966999999989
47.280925,-2.391866999999989
47.280925,-2.3917669999999887
47.280925,-2.3916669999999884
47.280925,-2.3915669999999882
47.280925,-2.391466999999988
47.280925,-2.391366999999988
47.280925,-2.3912669999999876
47.280925,-2.3911669999999874
47.280925,-2.391066999999987
47.280925,-2.390966999999987
47.280925,-2.3908669999999868
47.280925,-2.3907669999999865
47.280925,-2.3906669999999863
47.280925,-2.390566999999986
47.280925,-2.390466999999986
47.280925,-2.3903669999999857
47.280925,-2.3902669999999855
47.28102500000001,-2.3973670000000005
47.28102500000001,-2.3972670000000003
47.28102500000001,-2.397167
47.28102500000001,-2.397067
